,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
5915,oluwa_fummie,Ozo free Nengi for your peace of mind simple life too short o #BBNaija,2020-08-29 23:32:55+00:00,1,7,,#BBNaija,
5916,HafsohKehinde,Nengi and Kidd kilosele bayi o #BBNaija,2020-08-29 23:32:55+00:00,0,1,,#BBNaija,
5917,divadollarbaby,Holy Spirit speak to Ozo in the dream pls let him stay woke #BBNaija,2020-08-29 23:32:55+00:00,0,3,,#BBNaija,
5918,updates0000,Trikkytee leave nengi and kiddwaya to talk na..#BBNaija,2020-08-29 23:32:55+00:00,0,0,,#BBNaija,
5919,CofEnugu,Chineke help me ohh Kiddwaya na fire guy oh Nengi and Erica are in trouble #BBNaija,2020-08-29 23:32:55+00:00,0,0,,#BBNaija,
5920,Akalonubenard,Dj Switch Yes that's the tweet #BBNaija,2020-08-29 23:32:54+00:00,1,2,,#BBNaija,
5921,AirtelNigeria,Catch it if you can. Take a screenshot on *444#and share. Tag that friend that'll definitely catch it.,2020-08-07 17:44:27+00:00,306,5024,,,
5922,SweleBester,I am going to sleep #BBNaija #OwambeWithNengi,2020-08-29 23:32:54+00:00,0,2,,#BBNaija #OwambeWithNengi,
5923,MissSunshinees,Queen if the Dance floor and Queen of bathroom and Toilet things e be things . Nobody holy pass #BBNaijaLockdown #Bbnaija ,2020-08-29 23:32:53+00:00,0,9,,#BBNaijaLockdown #Bbnaija,
5924,Sommie_xo,WTH is going on here #BBNaija,2020-08-29 23:32:53+00:00,0,1,,#BBNaija,
5925,Jaycn330,Something is low key going on btw Nengi and Kid abi na shayo??? #BBNaija #BBNaijaLockdown,2020-08-29 23:32:53+00:00,0,2,,#BBNaija #BBNaijaLockdown,
5926,ItsUncleStephen,Nengi to Kidd: You distance yourself from me. Why? #BBNaija Nengi to Ozo when he's coming close: ,2020-08-29 23:32:53+00:00,15,53,,#BBNaija,
5927,litskinayo,"Nengi is drunk, what are these confessions for Make she go sleep #BBNaija",2020-08-29 23:32:52+00:00,0,0,,#BBNaija,
5928,Tessyluv_,Lmfao! Ozo is boiling #BBNaija,2020-08-29 23:32:52+00:00,0,1,,#BBNaija,
5929,Asaph_Allure,Nengi likes Kidd and there is nothing you can tell me about that. She can’t even look him in the face as she is talking #BBNaija,2020-08-29 23:32:52+00:00,1,13,,#BBNaija,
5930,biggy_orobo,Nenkidd #BBNaija,2020-08-29 23:32:51+00:00,0,0,,#BBNaija,
5931,oloriyowa,"I won't lie Sha, Kidd and Nengi are hot together! #bbnaija",2020-08-29 23:32:51+00:00,0,5,,#bbnaija,
5932,DamilolaOgunwo,So it's Nengi's turn to be high. Hmmm!! #BBNaija,2020-08-29 23:32:50+00:00,0,2,,#BBNaija,
5933,PowerfulMunee,Nengi press their neck #BBNaija,2020-08-29 23:32:50+00:00,0,6,,#BBNaija,
5934,StalonMichael,"Nengi want Kidd, so obvious! #bbnaija",2020-08-29 23:32:49+00:00,1,5,,#bbnaija,
5935,giftycandi,Kiddirika shippers abt to die nene #bbnaija ,2020-08-29 23:32:49+00:00,0,11,,#bbnaija,
5936,chyses,#bbnaija ah kidd dont distance urself from delilah Pls enjoy urself Grab her at any opportunity u get plix,2020-08-29 23:32:48+00:00,0,4,,#bbnaija,
5937,kiddwayakidney,Who is listening to nengi and Kiddwaya conversation? She said Kiddwaya distant from her since the day she took his perfume. #bbnaija,2020-08-29 23:32:48+00:00,20,182,,#bbnaija,
5938,ballerinyetty,Ooh she thinks kidd is avoiding/boning her ?#BBNaija,2020-08-29 23:32:47+00:00,0,5,,#BBNaija,
5939,_pambabington,Nengi is playing a game with this Kidd and Ozo triangle. #bbnajiaLockdown2020 #BBNaija #bbnaija2020 #bbnaijalockdown2020,2020-08-29 23:32:47+00:00,0,6,,#bbnajiaLockdown2020 #BBNaija #bbnaija2020 #bbnaijalockdown2020,
5940,ExplorerAtaga,Nengi looking at Kiddwaya the way Ozo looks at her. #BBNaija,2020-08-29 23:32:47+00:00,1,10,,#BBNaija,
5941,Tableshaker11,"I hope those ozone shippers can hear what Nengi and Kidd are discussing right now Nengi telling kidd that he’s distancing himself from her, Mumu ozo Dey there dey follow follow #BBNaija",2020-08-29 23:32:46+00:00,0,6,,#BBNaija,
5942,JLCPCB,"Only $2 for PCB Prototype, 24 Hours Fast Turn Order here https://jlcpcb.com/v JLCPCB The First Choice of Tech-Hackers!",2020-08-20 06:30:06+00:00,52,473,,,
5943,okayyTJ,trikytee move let this ship sail haba #BBNaija,2020-08-29 23:32:46+00:00,0,3,,#BBNaija,
5944,NuclearBobo,Lucy. take it easy on Erica. She's having marital crises. #BBNaija,2020-08-29 23:32:46+00:00,0,2,,#BBNaija,
5945,lamba_por,How #nengi suddenly get accent #bbnaija,2020-08-29 23:32:46+00:00,1,4,,#nengi #bbnaija,
5946,Bugoflagos,"At this point, Ozo should just chill and step back, he wasn't even friendzoned he was brother zoned #BBNaija",2020-08-29 23:32:45+00:00,0,2,,#BBNaija,
5947,Bolu22942805,"Can you all hear? So if truly something happened between them, will this conversation happen? #BBNaija",2020-08-29 23:32:45+00:00,0,2,,#BBNaija,
5948,izuchuks55,Tired wit dis kidd #BBNaija,2020-08-29 23:32:45+00:00,0,1,,#BBNaija,
5949,OgochukwuAnast1,Girl u are playing urself #BBNaija,2020-08-29 23:32:45+00:00,1,10,,#BBNaija,
5950,kidricadoraprin,Nengi wan enter kiddwaya as ship dey break? #BBNaija,2020-08-29 23:32:45+00:00,0,2,,#BBNaija,
5951,Sisy71676618,Eyi the demon is back. Am out #bbnaija #kiddrica #KIDDWAYA,2020-08-29 23:32:44+00:00,0,5,,#bbnaija #kiddrica #KIDDWAYA,
5952,juliusoakinloye,"Nengi is a cool girl, so she needs a sharp guy like Kidd. Now she walking up to Kidd #BBNaija #bbnaijalockdown2020",2020-08-29 23:32:44+00:00,0,0,,#BBNaija #bbnaijalockdown2020,
5953,cjiz,Ozo needs to leave Nengi Neo and Vee need to stop giving him stupid advices ! #BBNaija,2020-08-29 23:32:44+00:00,0,5,,#BBNaija,
5954,PrinceNELLYBaby,You people will say she's drunk now Aye yin ma baje ni #bbnaija,2020-08-29 23:32:43+00:00,0,5,,#bbnaija,
5955,_iamanicon,If he stinks would Erica ask him for hugs? Or would Nengi and the girls feel comfortable dancing with him on Saturday Parties? Sometimes you neeed to reason before you tweet. #BBNaija #bbnaijalockdown2020,2020-08-29 23:32:43+00:00,0,2,,#BBNaija #bbnaijalockdown2020,
5956,bookolami,This life no just balance... #BBNaija,2020-08-29 23:32:43+00:00,0,2,,#BBNaija,
5957,swirtgal,"Erica did not drink tonight, we thank God. #BBNaija",2020-08-29 23:32:42+00:00,0,3,,#BBNaija,
5958,_normah_,Trikytee get out of there abeg. #BBNAIJA,2020-08-29 23:32:42+00:00,0,1,,#BBNAIJA,
5959,LowlaRoyalty,Just hear her Forming... NeneHOE is a Bore #BBNaija ,2020-08-29 23:32:42+00:00,0,4,,#BBNaija,
5960,TheeBibbs,Finally #bbnaija,2020-08-29 23:32:42+00:00,0,4,,#bbnaija,
5961,MarilynBeing,Nengi leave kidd o. Before they drag you #Bbnaija,2020-08-29 23:32:42+00:00,0,14,,#Bbnaija,
