"","sentiment","day","date","n","contestant"
"1","negative","Friday",2020-08-21,6706,"sevilla"
"2","positive","Friday",2020-08-21,14530,"sevilla"
"3","negative","Friday",2020-08-21,355," inter milan"
"4","positive","Friday",2020-08-21,1109," inter milan"
