"","sentiment","ranges","date","n","Account_age"
"127","positive","Group D","2020-08-21",338,12
"128","sadness","Group D","2020-08-21",3,12
"129","surprise","Group D","2020-08-21",33,12
"130","trust","Group D","2020-08-21",70,12
"131","anger","Group D","2020-08-21",49,13
"132","anticipation","Group D","2020-08-21",88,13
"133","disgust","Group D","2020-08-21",7,13
"134","fear","Group D","2020-08-21",12,13
"135","joy","Group D","2020-08-21",25,13
"136","negative","Group D","2020-08-21",45,13
"137","positive","Group D","2020-08-21",90,13
"138","sadness","Group D","2020-08-21",2,13
"139","surprise","Group D","2020-08-21",7,13
"140","trust","Group D","2020-08-21",13,13
"141","negative","Group D","2020-08-21",1,14
