"","date","Count","word"
"122",2020-08-21 18:59:14,2,"goal"
"123",2020-08-21 18:59:36,1,"goal"
"124",2020-08-21 18:59:47,1,"goal"
"125",2020-08-21 18:59:48,1,"goal"
"126",2020-08-21 19:00:24,2,"goal"
"127",2020-08-21 19:00:31,1,"goal"
"128",2020-08-21 19:00:39,1,"goal"
"129",2020-08-21 19:00:48,1,"goal"
"130",2020-08-21 19:00:53,1,"goal"
"131",2020-08-21 19:01:01,3,"goal"
"132",2020-08-21 19:01:08,1,"goal"
"133",2020-08-21 19:01:10,2,"goal"
"134",2020-08-21 19:01:14,1,"goal"
"135",2020-08-21 19:01:19,1,"goal"
"136",2020-08-21 19:01:48,1,"goal"
"137",2020-08-21 19:01:53,1,"goal"
"138",2020-08-21 19:02:02,1,"goal"
"139",2020-08-21 19:02:08,1,"goal"
"140",2020-08-21 19:02:21,1,"goal"
"141",2020-08-21 19:02:29,1,"goal"
"142",2020-08-21 19:02:59,1,"goal"
"143",2020-08-21 19:03:10,1,"goal"
"144",2020-08-21 19:03:14,1,"goal"
"145",2020-08-21 19:03:18,1,"goal"
"146",2020-08-21 19:03:24,2,"goal"
"147",2020-08-21 19:03:30,1,"goal"
"148",2020-08-21 19:03:47,1,"goal"
"149",2020-08-21 19:03:58,1,"goal"
"150",2020-08-21 19:04:31,1,"goal"
"151",2020-08-21 19:04:43,1,"goal"
"152",2020-08-21 19:04:48,1,"goal"
"153",2020-08-21 19:04:55,1,"goal"
"154",2020-08-21 19:04:56,1,"goal"
"155",2020-08-21 19:05:04,1,"goal"
"156",2020-08-21 19:05:11,1,"goal"
"157",2020-08-21 19:05:12,1,"goal"
"158",2020-08-21 19:05:15,2,"goal"
"159",2020-08-21 19:05:17,1,"goal"
"160",2020-08-21 19:05:19,2,"goal"
"161",2020-08-21 19:05:21,1,"goal"
"162",2020-08-21 19:05:22,1,"goal"
"163",2020-08-21 19:05:23,1,"goal"
"164",2020-08-21 19:05:26,2,"goal"
"165",2020-08-21 19:05:30,1,"goal"
