"","sentiment","date","n"
"1","anger","2020-08-21",30674
"2","anticipation","2020-08-21",45465
"3","disgust","2020-08-21",7809
"4","fear","2020-08-21",8190
"5","joy","2020-08-21",14243
"6","negative","2020-08-21",30932
"7","positive","2020-08-21",53107
"8","sadness","2020-08-21",502
"9","surprise","2020-08-21",3162
"10","trust","2020-08-21",8921
